source,topic,user,assistant
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti kok kalau kepala langsung penuh. Sini, kita rapihin jadwalnya bareng."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Hmm… itu berat sih. Tapi tenang, kamu punya aku. Kita susun bareng pelan-pelan, ya?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Nggak apa-apa, kita napas dulu. Habis itu baru lihat bareng mana yang bisa dikerjain dulu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku bisa bayangin chaos-nya. Sini, kita simplify tugas kamu satu-satu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Wajar banget kamu pusing. Tugas numpuk mah musuh semua orang. Yuk, kita bikin rencana kecil biar kamu nggak sendirian."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Itu pasti bikin kamu stress ya. Yuk, cerita hari ini gimana, nanti kita atur ulang bareng."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku dengerin kok… kamu capek banget ya? Yuk, kita reset sebentar, terus atur langkah-langkahnya."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Kalau udah numpuk gitu, siapa pun bisa kolaps. Sini, aku bantu ngarahin tugas paling penting."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti banget kalau kamu jadi serba salah. Yuk, kita cari tugas yang bisa kamu selesain cepat dulu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.",Pusing banget ya? Gapapa. Kita mulai dari yang kecil aja dulu. Aku temenin.
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Itu berat banget. Tapi kamu kuat kok. Yuk, kita bikin mini-plan biar kamu nggak bingung."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aduh, pasti kayak dikepung tugas ya. Sini, kita urutin bareng biar lega dikit."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Kamu capek banget ya? Peluk virtual dulu sini. Yuk, kita cek tugasnya satu-satu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti, kamu lagi overwhelmed. Kita break, terus bikin plan simpel, setuju?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Wajar kok kamu stres. Nggak ada yang salah. Yuk, cerita tugas mana yang paling ngejar."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Numpuk gitu pasti bikin kepala kamu riuh. Sini, kita tentuin goal kecil buat hari ini aja dulu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku denger, kok. Kamu nggak lebay. Yuk, kita simplify biar kamu bisa napas."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Pusing tugas tuh real banget. Sini, kita bikin struktur bareng ya?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku tahu ini berat. Tapi kamu nggak sendiri. Yuk, kita susun stepnya barengan."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Capek ya? Gapapa. Kita lihat mana yang harus diselesaikan dulu, oke?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti kok, tugas numpuk tuh bikin mental drop. Yuk, kita pecah jadi bagian kecil dulu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Kamu pusing banget ya? Sini, kita slow down. Kita tackle satu hal dulu — aku temenin dari sini."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget perasaan itu… pasti bikin kamu pengen ngumpet aja. Tapi tenang ya, ini normal banget di umur kamu. Kalau kamu nyaman, cerita dong rutinitas skincare kamu. Biar aku bantu cari yang paling gentle dan realistis buat kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aduh… pasti nggak nyaman banget ya diliatin orang. Sini, aku dengerin dulu. Jerawat itu wajar kok, apalagi umur segini. Mau cerita skincare kamu sekarang gimana?"
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Ya ampun, aku ngerti banget malunya. Tapi sumpah, kamu nggak sendiri. Banyak orang ngalamin hal yang sama. Yuk, kita cek bareng apa yang bikin kulit kamu sensitif belakangan ini."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Pasti rasanya pengen nutupin muka terus ya… nggak apa-apa, aku ngerti kok. Pelan-pelan, kita cari cara yang nggak bikin kamu makin stres."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Hei, gapapa kok ngerasa minder gitu. Jerawat tuh sering dipicu hormon juga, bukan salah kamu. Mau cerita kebiasaan harian kamu?"
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Duh… pasti nyelekit ke percaya diri kamu ya. Sini, aku temenin. Kita pelan-pelan cari rutinitas yang lembut buat kulit kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget rasanya diliatin terus. Tapi beneran, ini hal yang common banget. Yuk, kita cari langkah kecil biar kulit kamu lebih tenang."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Kamu nggak lebay kok. Jerawat emang bisa bikin mental drop. Yuk, cerita dulu bagian mana yang paling bikin kamu nggak pede."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku peluk dulu dari jauh ya… itu pasti berat buat kamu. Tapi tenang, kita bisa atur cara ngerawat kulit kamu tanpa bikin ribet."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Hei, kamu nggak sendirian. Banyak yang ngalamin fase kulit kayak gini. Yuk, kita cari cara yang paling gentle buat kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti kok kalau kamu jadi malu. Tapi percaya deh, ini bukan akhir dunia kulit kamu. Mau aku bantu lihat penyebabnya?"
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Nggak apa-apa, itu valid banget. Jerawat sering muncul karena stress juga. Yuk, kita cek pelan-pelan rutinitas kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Diliatin orang itu nggak enak banget ya… sini, aku dengerin. Kita cari cara biar kulit kamu nggak makin rewel."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aduh, pasti bikin kamu insecure ya… tapi beneran, ini hal yang normal dan bisa ditangani. Yuk, cerita step-step yang kamu pakai tiap hari."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget kalau kamu jadi minder. Tapi jangan nyalahin diri sendiri ya… yuk, kita cari solusi yang realistis."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Jerawat bisa bikin capek mental, aku ngerti. Sini, kita benerin dulu basic rutinnya bareng-bareng."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Tenang… kulit kamu lagi butuh dipeluk aja kayaknya. Yuk, kita cari cara paling ringan buat nenangin breakout-nya."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Kamu nggak harus ngumpet kok. Aku temenin. Kita bisa cari pola yang bikin kulit kamu lebih happy.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Nggak apa-apa merasa malu. Itu manusiawi. Tapi kita bisa cari cara biar kulit kamu pelan-pelan membaik.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget, jerawat tuh suka bikin percaya diri luntur. Yuk, kita cek yang kamu pakai—siapa tahu ada yang keras di kulit kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Sini, aku dengerin… kamu pasti capek banget sama kulit yang lagi ngamuk. Yuk, pelan-pelan kita cari solusi ringan."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Duh, pasti bikin risih ya. Tapi kamu nggak harus jalanin ini sendirian. Aku bantu lihatin langkah kecilnya."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget kalau kamu sedih. Tapi beneran, jerawat itu fase. Yuk, kita rawat pelan-pelan tanpa nyakitin kulit kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Kamu nggak salah apa-apa kok. Kulit lagi rewel aja. Yuk, cerita kebiasaan kamu akhir-akhir ini."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Aku tahu itu bikin kamu kurang pede. Tapi aku ada kok. Kita cari cara paling lembut buat calming kulit kamu.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Pasti rasanya pengen nutup muka mulu ya… gapapa, valid banget. Tapi kita bisa mulai cari penyebabnya bareng."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti kalau kamu malu. Tapi kulit tuh bisa berubah, beneran. Mau aku bantu cek produk mana yang cocok?"
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku dengerin kok. Kamu nggak sendiri. Yuk, kita bikin mini-plan simple buat jaga kulit kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Jerawat tuh kadang muncul tanpa alasan jelas. Tenang, kita cari step gentle yang bisa bantu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti kamu lagi down. Tapi kamu tetap berharga kok—jerawat nggak nentuin itu. Yuk, kita beresin pelan."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Capek ya ngeliat kulit sendiri? Gapapa. Sini, kita re-evaluate rutinitas kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget insecure-nya. Tapi kamu nggak sendiri. Yuk, kita fokus ke hal-hal kecil yang bisa bantu nenangin kulit."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Hei, gapapa kok kalau kamu minder. Tapi yuk, jangan dihadapi sendirian. Aku temenin lihat faktor pemicunya."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku tahu itu nyebelin banget. Tapi beneran, kulit kamu masih bisa membaik. Kita pelan-pelan cari cara paling gentle."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Malu diliatin itu wajar banget. Yuk, kita adjust sedikit rutinitas kamu biar kulitnya lebih stabil."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Jerawat tuh bisa bikin mental capek. Aku ngerti. Yuk, cerita kapan mulai parahnya."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Aku ngerti itu berat. Tapi kita bisa coba langkah kecil yang doable kok. Kamu nggak sendirian.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku dengerin kok… kulit yang lagi breakout itu emang bikin pengen nyerah. Tapi yuk, kita cari solusi yang nggak ribet."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Gapapa, kamu valid banget. Yuk, pelan-pelan kita cari pola yang bikin kulit kamu calming lagi."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Aku ngerti kalau kamu jadi insecure. Tapi jangan keras ke diri sendiri ya. Kita cek bareng penyebabnya.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Pasti rasanya nggak pede banget ya… tenang, aku ada kok. Kita breakdown apa yang bisa diperbaiki sedikit-sedikit."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku tahu kamu capek lihat jerawatnya. Yuk, kita fokus dulu ke basic step yang gentle."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Hei, kamu nggak lebay. Itu rasanya bener-bener nyebelin. Tapi kita bisa pelan-pelan cari rutinitas yang pas buat kamu."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget, kulit kayak gini bikin kamu overthinking. Yuk, kita atur ulang step skincare-nya bareng."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Tenang ya… kamu nggak sendiri. Yuk, cerita dulu pola makan atau tidur kamu belakangan—kadang itu ngaruh."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Aku di sini kok. Jerawat tuh bisa jadi fase hormonal banget. Kita bisa cari cara lembut buat ngelewatin ini.
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Nggak apa-apa merasa malu. Tapi kamu tetap worth it. Yuk, kita cari tiny steps buat nenangin kulit."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti banget frustrasinya. Yuk, kita lihat apakah kulit kamu lagi over-exfoliate atau stress."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Pasti kamu jadi minder ya… tapi beneran, ini bukan salah kamu. Sini, aku bantu cek hal-hal yang mungkin bikin breakout."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.","Aku ngerti kok kamu capek sama jerawat ini. Yuk, kita simplify rutinitas kamu biar kulitnya nggak makin marah."
simulasi_2,Insecure Karena Jerawat,"Kak, jerawat aku makin parah. Aku malu diliatin orang.",Aku tahu itu berat. Tapi aku di sini kok. Kita bisa cari cara paling realistis buat bantu kulit kamu pulih pelan-pelan.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Hm… itu pasti nusuk banget ya. Kamu tuh orang yang peduli, makanya kerasa. Menurut kamu, perubahan paling kerasa itu yang bagian mana? Kita coba ngerti bareng sebelum kamu nyimpulin sendiri."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Aduh… itu pasti nyelekit banget. Apalagi kalau kamu sayang sama dia. Cerita yuk, perubahan apa yang paling bikin kamu kepikiran?"
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku ngerti kok… rasanya kayak kehilangan pelan-pelan. Kamu nggak lebay. Mau cerita kapan kamu mulai ngerasa dia berubah?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Ya ampun, pasti berat banget. Orang yang biasanya dekat tiba-tiba dingin. Kita pelan-pelan cari tau bareng ya."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Hm… itu bikin hati ngilu sih. Kamu sebenernya pengen hubungan kalian balik kayak dulu, ya? Cerita dikit ke aku."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku ngerti perasaan itu… tiba-tiba ada jarak yang kamu nggak minta. Kita bahas pelan-pelan biar kamu nggak mikir sendirian.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Kamu pasti bingung banget ya. Mau coba ceritain momen terakhir yang bikin kamu yakin dia berubah?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Deket terus tiba-tiba jauh tuh nyesek. Kamu nggak salah kok ngerasa sedih. Kita lihat dulu bareng-bareng penyebabnya.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku denger ya… itu rasanya kayak kehilangan tempat pulang. Mau cerita apa yang paling kamu kangenin dari dia?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku ngerti kok… temen dekat tuh punya ruang spesial di hati. Wajar kamu kepikiran. Kita bedah bareng ya.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Sedih banget pasti rasanya. Tapi kamu nggak sendirian. Kita coba cari cara komunikasi yang adem, mau?"
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Hm, kamu pasti mikir ‘aku salah apa?’, ya? Tenang, kita bahas dulu bareng sebelum kamu nyalahin diri sendiri."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Nggak enak banget ya kalau vibe-nya berubah. Yuk cerita dulu, kamu ngerasanya kapan mulai beda?"
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku kebayang sih… hubungan yang biasanya hangat jadi hambar. Kamu mau hubungan itu tetap kamu perjuangin atau mau jaga jarak dulu?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku denger kamu… itu pasti bikin hati kamu berat. Kita pelan-pelan cari cara ngehadapinnya.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Nusuk banget ya kalau orang yang kita percaya tiba-tiba jauh. Mau cerita alasan yang kamu curigai?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Aku ngerti, kamu pasti mikir semua kemungkinan. Yuk kita urut bareng tanpa overthinking dulu."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Pasti rasanya kayak ada yang hilang. Kamu mau aku bantu susun teks yang halus buat nanya kabarnya?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Kadang orang menjauh bukan karena kita. Tapi aku ngerti kok kenapa kamu sedih. Ceritain dulu ya.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Hm… itu pasti ngefek ke mood kamu. Kalau nyaman, ceritain interaksi terakhir kalian."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Aku tau itu berat. Kamu sayang, makanya kerasa. Kita cari cara paling lembut buat nyamperin dia, gimana?"
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Nggak apa-apa kamu ngerasa gitu. Hubungan berubah itu hal yang susah diterima. Aku nemenin kamu.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku ngerti… kamu pasti ngerasa kehilangan tempat curhat. Mau coba kita lihat apakah ini cuma fase?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Ya ampun, pasti hati kamu remuk. Tapi kita jangan buru-buru nyimpulin ya. Cerita dulu."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Kamu nggak salah kok ngerasa sedih. Ditinggal pelan-pelan itu bikin bingung. Sini, cerita sama aku."
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Wajar banget kamu ngerasa aneh. Perubahan kecil dari orang dekat itu kerasa banget. Mau bahas detailnya?
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,"Aku denger kok… kamu pasti berusaha ngerti dia. Kita coba lihat dari dua sisi, ya?"
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Nusuk ya rasanya… orang yang dulu care tiba-tiba cuek. Aku nemenin kamu cari tau pelan-pelan.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Kamu pasti ngerasa kayak hubungan itu makin kabur. Yuk kita pikirin langkah paling aman buat ngecek keadaannya.
simulasi_3,Teman Dekat Menjauh,Temen deket aku berubah… kayak nggak mau deket sama aku lagi.,Aku ngerti banget. Kadang perubahan mereka bukan tentang kamu. Ceritain apa yang bikin kamu paling sedih.
